stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening D:\Librairies\Documents\GitHub\AntiquityTrader\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.05004] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05006] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05007] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05010] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05012] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05014] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05015] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05017] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05018] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05020] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05021] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05023] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05024] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05026] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05027] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05030] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05031] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05032] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05034] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05035] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05037] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05038] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05039] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05041] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05042] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05044] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05045] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05047] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05048] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05050] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05051] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05053] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05055] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05056] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05058] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05059] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05061] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05062] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05063] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05065] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05067] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05068] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05070] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05071] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05072] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05074] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05075] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05077] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05078] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05080] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05081] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05083] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05084] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05086] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05087] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05089] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05090] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05092] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05093] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05095] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05096] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05097] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05099] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05100] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05101] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05103] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05104] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05106] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05107] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05109] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05110] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05116] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05117] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05119] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05120] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05122] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05123] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05125] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05126] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05128] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05129] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05131] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05132] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05134] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05135] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.05137] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.05138] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05140] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.05141] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05143] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.05144] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05146] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.05147] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05149] Score is : 715
display  D   display_settings.c:212  debug_display_settings           [   0.05150] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05151] Score is : 714
display  D   display_settings.c:212  debug_display_settings           [   0.05153] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05154] Score is : 713
display  D   display_settings.c:212  debug_display_settings           [   0.05155] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.05157] Score is : 712
display  D   display_settings.c:212  debug_display_settings           [   0.05158] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05161] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05163] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05165] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05166] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05168] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05169] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05171] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05172] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05174] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05175] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05177] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05178] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05180] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05181] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05183] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05184] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05186] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05187] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05189] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05190] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05192] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05193] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05195] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05196] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05198] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05199] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05201] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05202] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05204] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05205] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05207] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05208] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05210] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05211] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05213] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05214] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05216] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05217] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.05219] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05220] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05222] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05224] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05225] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05227] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05229] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05230] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05232] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05233] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05235] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.05236] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.05238] Single Buffer requirement not met.
